区分,品名,メーカー名
内用薬,アデカット１５ｍｇ錠,武田テバ薬品
内用薬,アデカット３０ｍｇ錠,武田テバ薬品
内用薬,シラザプリル０．２５ｍｇ錠,
内用薬,シラザプリル０．５ｍｇ錠,
内用薬,シラザプリル１ｍｇ錠,
内用薬,リシノプリル５ｍｇ錠,
内用薬,ゼストリル錠５,アストラゼネカ
内用薬,ロンゲス錠５ｍｇ,共和薬品工業
内用薬,リシノプリル１０ｍｇ錠,
内用薬,ゼストリル錠１０,アストラゼネカ
内用薬,ロンゲス錠１０ｍｇ,共和薬品工業
内用薬,リシノプリル錠１０ｍｇ「サワイ」,沢井製薬
内用薬,リシノプリル錠１０ｍｇ「ファイザー」,マイラン製薬
内用薬,リシノプリル２０ｍｇ錠,
内用薬,ゼストリル錠２０,アストラゼネカ
内用薬,ロンゲス錠２０ｍｇ,共和薬品工業
内用薬,リシノプリル錠２０ｍｇ「トーワ」,東和薬品
内用薬,リシノプリル錠２０ｍｇ「タイヨー」,日医工岐阜工場
内用薬,リシノプリル錠２０ｍｇ「オーハラ」,大原薬品工業
内用薬,リシノプリル錠２０ｍｇ「日医工」,日医工
内用薬,リシノプリル錠２０ｍｇ「ファイザー」,マイラン製薬
内用薬,リシノプリル錠２０ｍｇ「ＮＩＧ」,日医工岐阜工場
内用薬,ベナゼプリル塩酸塩２．５ｍｇ錠,
内用薬,チバセン錠２．５ｍｇ,サンファーマ
内用薬,ベナゼプリル塩酸塩５ｍｇ錠,
内用薬,チバセン錠５ｍｇ,サンファーマ
内用薬,ベナゼプリル塩酸塩１０ｍｇ錠,
内用薬,チバセン錠１０ｍｇ,サンファーマ
内用薬,タナトリル錠２．５,田辺三菱製薬
内用薬,イミダプリル塩酸塩錠２．５ｍｇ「ＪＧ」,日本ジェネリック
内用薬,イミダプリル塩酸塩錠２．５ｍｇ「ＴＣＫ」,辰巳化学
内用薬,イミダプリル塩酸塩錠２．５ｍｇ「ＴＹＫ」,武田テバ薬品
内用薬,イミダプリル塩酸塩錠２．５ｍｇ「オーハラ」,大原薬品工業
内用薬,イミダプリル塩酸塩錠２．５ｍｇ「ＰＨ」,キョーリンリメディオ
内用薬,イミダプリル塩酸塩錠２．５ｍｇ「ＹＤ」,陽進堂
内用薬,イミダプリル塩酸塩錠２．５ｍｇ「ガレン」,日医工ファーマ
内用薬,イミダプリル塩酸塩錠２．５ｍｇ「ケミファ」,メディサ新薬
内用薬,イミダプリル塩酸塩錠２．５ｍｇ「サワイ」,沢井製薬
内用薬,イミダプリル塩酸塩錠２．５ｍｇ「トーワ」,東和薬品
内用薬,イミダプリル塩酸塩錠２．５ｍｇ「日医工」,日医工
内用薬,イミダプリル塩酸塩錠２．５ｍｇ「ＤＳＥＰ」,第一三共エスファ
内用薬,イミダプリル塩酸塩錠２．５ｍｇ「ファイザー」,ファイザー
内用薬,イミダプリル塩酸塩錠２．５ｍｇ「テバ」,武田テバファーマ
内用薬,タナトリル錠５,田辺三菱製薬
内用薬,イミダプリル塩酸塩錠５ｍｇ「ＪＧ」,日本ジェネリック
内用薬,イミダプリル塩酸塩錠５ｍｇ「ＴＣＫ」,辰巳化学
内用薬,イミダプリル塩酸塩錠５ｍｇ「ＴＹＫ」,武田テバ薬品
内用薬,イミダプリル塩酸塩錠５ｍｇ「オーハラ」,大原薬品工業
内用薬,イミダプリル塩酸塩錠５ｍｇ「ＰＨ」,キョーリンリメディオ
内用薬,イミダプリル塩酸塩錠５ｍｇ「ＹＤ」,陽進堂
内用薬,イミダプリル塩酸塩錠５ｍｇ「ガレン」,日医工ファーマ
内用薬,イミダプリル塩酸塩錠５ｍｇ「ケミファ」,メディサ新薬
内用薬,イミダプリル塩酸塩錠５ｍｇ「サワイ」,沢井製薬
内用薬,イミダプリル塩酸塩錠５ｍｇ「トーワ」,東和薬品
内用薬,イミダプリル塩酸塩錠５ｍｇ「日医工」,日医工
内用薬,イミダプリル塩酸塩錠５ｍｇ「ＤＳＥＰ」,第一三共エスファ
内用薬,イミダプリル塩酸塩錠５ｍｇ「ファイザー」,ファイザー
内用薬,イミダプリル塩酸塩錠５ｍｇ「テバ」,武田テバファーマ
内用薬,タナトリル錠１０,田辺三菱製薬
内用薬,イミダプリル塩酸塩錠１０ｍｇ「ＪＧ」,日本ジェネリック
内用薬,イミダプリル塩酸塩錠１０ｍｇ「ＴＣＫ」,辰巳化学
内用薬,イミダプリル塩酸塩錠１０ｍｇ「ＴＹＫ」,武田テバ薬品
内用薬,イミダプリル塩酸塩錠１０ｍｇ「オーハラ」,大原薬品工業
内用薬,イミダプリル塩酸塩錠１０ｍｇ「ＰＨ」,キョーリンリメディオ
内用薬,イミダプリル塩酸塩錠１０ｍｇ「ＹＤ」,陽進堂
内用薬,イミダプリル塩酸塩錠１０ｍｇ「ガレン」,日医工ファーマ
内用薬,イミダプリル塩酸塩錠１０ｍｇ「ケミファ」,メディサ新薬
内用薬,イミダプリル塩酸塩錠１０ｍｇ「サワイ」,沢井製薬
内用薬,イミダプリル塩酸塩錠１０ｍｇ「トーワ」,東和薬品
内用薬,イミダプリル塩酸塩錠１０ｍｇ「日医工」,日医工
内用薬,イミダプリル塩酸塩錠１０ｍｇ「ＤＳＥＰ」,第一三共エスファ
内用薬,イミダプリル塩酸塩錠１０ｍｇ「ファイザー」,ファイザー
内用薬,イミダプリル塩酸塩錠１０ｍｇ「テバ」,武田テバファーマ
内用薬,エースコール錠１ｍｇ,アルフレッサファーマ
内用薬,テモカプリル塩酸塩錠１ｍｇ「ＪＧ」,日本ジェネリック
内用薬,テモカプリル塩酸塩錠１ｍｇ「ＮＰ」,ニプロ
内用薬,テモカプリル塩酸塩錠１ｍｇ「ＹＤ」,陽進堂
内用薬,テモカプリル塩酸塩錠１ｍｇ「サワイ」,沢井製薬
内用薬,テモカプリル塩酸塩錠１ｍｇ「タカタ」,ダイト
内用薬,テモカプリル塩酸塩錠１ｍｇ「タナベ」,ニプロＥＳファーマ
内用薬,テモカプリル塩酸塩錠１ｍｇ「日医工」,日医工
内用薬,テモカプリル塩酸塩錠１ｍｇ「トーワ」,東和薬品
内用薬,エースコール錠２ｍｇ,アルフレッサファーマ
内用薬,テモカプリル塩酸塩錠２ｍｇ「ＪＧ」,日本ジェネリック
内用薬,テモカプリル塩酸塩錠２ｍｇ「ＮＰ」,ニプロ
内用薬,テモカプリル塩酸塩錠２ｍｇ「ＹＤ」,陽進堂
内用薬,テモカプリル塩酸塩錠２ｍｇ「サワイ」,沢井製薬
内用薬,テモカプリル塩酸塩錠２ｍｇ「タカタ」,ダイト
内用薬,テモカプリル塩酸塩錠２ｍｇ「タナベ」,ニプロＥＳファーマ
内用薬,テモカプリル塩酸塩錠２ｍｇ「日医工」,日医工
内用薬,テモカプリル塩酸塩錠２ｍｇ「トーワ」,東和薬品
内用薬,エースコール錠４ｍｇ,アルフレッサファーマ
内用薬,テモカプリル塩酸塩錠４ｍｇ「ＪＧ」,日本ジェネリック
内用薬,テモカプリル塩酸塩錠４ｍｇ「ＮＰ」,ニプロ
内用薬,テモカプリル塩酸塩錠４ｍｇ「ＹＤ」,陽進堂
内用薬,テモカプリル塩酸塩錠４ｍｇ「サワイ」,沢井製薬
内用薬,テモカプリル塩酸塩錠４ｍｇ「タカタ」,ダイト
内用薬,テモカプリル塩酸塩錠４ｍｇ「タナベ」,ニプロＥＳファーマ
内用薬,テモカプリル塩酸塩錠４ｍｇ「日医工」,日医工
内用薬,テモカプリル塩酸塩錠４ｍｇ「トーワ」,東和薬品
内用薬,コナン錠５ｍｇ,田辺三菱製薬
内用薬,コナン錠１０ｍｇ,田辺三菱製薬
内用薬,コナン錠２０ｍｇ,田辺三菱製薬
内用薬,トランドラプリル０．５ｍｇ錠,
内用薬,オドリック錠０．５ｍｇ,日本新薬
内用薬,トランドラプリル錠０．５ｍｇ「トーワ」,東和薬品
内用薬,トランドラプリル錠０．５ｍｇ「サワイ」,沢井製薬
内用薬,トランドラプリル１ｍｇ錠,
内用薬,オドリック錠１ｍｇ,日本新薬
内用薬,ペリンドプリルエルブミン２ｍｇ錠,
内用薬,コバシル錠２ｍｇ,協和キリン
内用薬,ペリンドプリルエルブミン４ｍｇ錠,
内用薬,コバシル錠４ｍｇ,協和キリン
内用薬,メチルドパ錠,
内用薬,メチルドパ錠,
内用薬,カタプレス錠７５μｇ,日本ベーリンガーインゲルハイム
内用薬,カタプレス錠１５０μｇ,日本ベーリンガーインゲルハイム
内用薬,ミニプレス錠０．５ｍｇ,ファイザー
内用薬,ミニプレス錠１ｍｇ,ファイザー
内用薬,ノルモナール錠１５ｍｇ,エーザイ
内用薬,ラベタロール塩酸塩５０ｍｇ錠,
内用薬,トランデート錠５０ｍｇ,サンドファーマ
内用薬,ラベタロール塩酸塩１００ｍｇ錠,
内用薬,トランデート錠１００ｍｇ,サンドファーマ
内用薬,メトプロロール酒石酸塩２０ｍｇ錠,
内用薬,セロケン錠２０ｍｇ,太陽ファルマ
内用薬,ロプレソール錠２０ｍｇ,サンファーマ
内用薬,メトプロロール酒石酸塩４０ｍｇ錠,
内用薬,ロプレソール錠４０ｍｇ,サンファーマ
内用薬,セロケンＬ錠１２０ｍｇ,太陽ファルマ
内用薬,ロプレソールＳＲ錠１２０ｍｇ,サンファーマ
内用薬,ブロクリン－Ｌカプセル５ｍｇ,高田製薬
内用薬,ブロクリン－Ｌカプセル１５ｍｇ,高田製薬
内用薬,テナキシル錠１ｍｇ,アルフレッサファーマ
内用薬,ナトリックス錠１,京都薬品工業
内用薬,ナトリックス錠２,京都薬品工業
内用薬,テナキシル錠２ｍｇ,アルフレッサファーマ
内用薬,プロプラノロール塩酸塩徐放カプセル６０ｍｇ「サワイ」,沢井製薬
内用薬,デタントール錠０．５ｍｇ,エーザイ
内用薬,デタントール錠１ｍｇ,エーザイ
内用薬,デタントールＲ錠３ｍｇ,エーザイ
内用薬,デタントールＲ錠６ｍｇ,エーザイ
内用薬,ワイテンス錠２ｍｇ,アルフレッサファーマ
内用薬,ローガン錠１０ｍｇ,ＬＴＬファーマ
内用薬,ニカルジピン塩酸塩１０％散,
内用薬,ペルジピン散１０％,ＬＴＬファーマ
内用薬,ニカルジピン塩酸塩１０ｍｇ錠,
内用薬,ペルジピン錠１０ｍｇ,ＬＴＬファーマ
内用薬,ニカルジピン塩酸塩２０ｍｇ錠,
内用薬,ペルジピン錠２０ｍｇ,ＬＴＬファーマ
内用薬,ニカルジピン塩酸塩２０ｍｇ徐放カプセル,
内用薬,ペルジピンＬＡカプセル２０ｍｇ,ＬＴＬファーマ
内用薬,ニカルジピン塩酸塩４０ｍｇ徐放カプセル,
内用薬,ペルジピンＬＡカプセル４０ｍｇ,ＬＴＬファーマ
内用薬,エブランチルカプセル１５ｍｇ,科研製薬
内用薬,エブランチルカプセル３０ｍｇ,科研製薬
内用薬,ハイパジールコーワ錠３,興和
内用薬,ハイパジールコーワ錠６,興和
内用薬,ニルバジピン２ｍｇ錠,
内用薬,ニバジール錠２ｍｇ,ＬＴＬファーマ
内用薬,ニルバジピン４ｍｇ錠,
内用薬,ニバジール錠４ｍｇ,ＬＴＬファーマ
内用薬,ハイトラシン錠０．２５ｍｇ,マイランＥＰＤ
内用薬,バソメット錠０．２５ｍｇ,田辺三菱製薬
内用薬,ハイトラシン錠０．５ｍｇ,マイランＥＰＤ
内用薬,バソメット錠０．５ｍｇ,田辺三菱製薬
内用薬,ハイトラシン錠１ｍｇ,マイランＥＰＤ
内用薬,バソメット錠１ｍｇ,田辺三菱製薬
内用薬,ハイトラシン錠２ｍｇ,マイランＥＰＤ
内用薬,バソメット錠２ｍｇ,田辺三菱製薬
内用薬,ミケランＬＡカプセル１５ｍｇ,大塚製薬
内用薬,ドキサゾシンメシル酸塩０．５ｍｇ錠,
内用薬,カルデナリン錠０．５ｍｇ,ヴィアトリス製薬
内用薬,ドキサゾシンメシル酸塩１ｍｇ錠,
内用薬,カルデナリン錠１ｍｇ,ヴィアトリス製薬
内用薬,ドキサゾシンメシル酸塩２ｍｇ錠,
内用薬,カルデナリン錠２ｍｇ,ヴィアトリス製薬
内用薬,ドキサゾシン錠２ｍｇ「ＹＤ」,陽進堂
内用薬,ドキサゾシン錠２ｍｇ「サワイ」,沢井製薬
内用薬,ドキサゾシン錠２ｍｇ「日医工」,日医工
内用薬,ドキサゾシン錠２ｍｇ「トーワ」,東和薬品
内用薬,ドキサゾシン錠２ｍｇ「ＪＧ」,長生堂製薬
内用薬,ドキサゾシン錠２ｍｇ「ＥＭＥＣ」,サンノーバ
内用薬,ドキサゾシン錠２ｍｇ「ＮＳ」,日新製薬（山形）
内用薬,ドキサゾシン錠２ｍｇ「テバ」,武田テバファーマ
内用薬,ドキサゾシン錠２ｍｇ「ＭＥＤ」,メディサ新薬
内用薬,ドキサゾシン錠２ｍｇ「ＭＥＥＫ」,小林化工
内用薬,ドキサゾシンメシル酸塩４ｍｇ錠,
内用薬,カルデナリン錠４ｍｇ,ヴィアトリス製薬
内用薬,ドキサゾシン錠４ｍｇ「ＥＭＥＣ」,サンノーバ
内用薬,ドキサゾシン錠４ｍｇ「ＹＤ」,陽進堂
内用薬,ドキサゾシン錠４ｍｇ「サワイ」,沢井製薬
内用薬,ドキサゾシン錠４ｍｇ「日医工」,日医工
内用薬,ドキサゾシン錠４ｍｇ「トーワ」,東和薬品
内用薬,ドキサゾシン錠４ｍｇ「ＪＧ」,長生堂製薬
内用薬,ドキサゾシン錠４ｍｇ「ＮＳ」,日新製薬（山形）
内用薬,ドキサゾシン錠４ｍｇ「テバ」,武田テバファーマ
内用薬,ドキサゾシン錠４ｍｇ「ＭＥＤ」,メディサ新薬
内用薬,ドキサゾシン錠４ｍｇ「ＭＥＥＫ」,小林化工
内用薬,カルデナリンＯＤ錠０．５ｍｇ,ヴィアトリス製薬
内用薬,カルデナリンＯＤ錠１ｍｇ,ヴィアトリス製薬
内用薬,カルデナリンＯＤ錠２ｍｇ,ヴィアトリス製薬
内用薬,カルデナリンＯＤ錠４ｍｇ,ヴィアトリス製薬
内用薬,マニジピン塩酸塩５ｍｇ錠,
内用薬,カルスロット錠５,武田テバ薬品
内用薬,マニジピン塩酸塩１０ｍｇ錠,
内用薬,カルスロット錠１０,武田テバ薬品
内用薬,マニジピン塩酸塩２０ｍｇ錠,
内用薬,カルスロット錠２０,武田テバ薬品
内用薬,セリプロロール塩酸塩１００ｍｇ錠,
内用薬,セレクトール錠１００ｍｇ,日本新薬
内用薬,セリプロロール塩酸塩錠１００ｍｇ「日医工」,日医工
内用薬,セリプロロール塩酸塩２００ｍｇ錠,
内用薬,セレクトール錠２００ｍｇ,日本新薬
内用薬,ヒポカ５ｍｇカプセル,ＬＴＬファーマ
内用薬,ヒポカ１０ｍｇカプセル,ＬＴＬファーマ
内用薬,ヒポカ１５ｍｇカプセル,ＬＴＬファーマ
内用薬,ベタキソロール塩酸塩５ｍｇ錠,
内用薬,ケルロング錠５ｍｇ,クリニジェン
内用薬,ベタキソロール塩酸塩１０ｍｇ錠,
内用薬,ケルロング錠１０ｍｇ,クリニジェン
内用薬,ベタキソロール塩酸塩錠１０ｍｇ「サワイ」,沢井製薬
内用薬,ベタキソロール塩酸塩錠１０ｍｇ「トーワ」,東和薬品
内用薬,カルベジロール１０ｍｇ錠,
内用薬,アーチスト錠１０ｍｇ,第一三共
内用薬,カルベジロール２０ｍｇ錠,
内用薬,アーチスト錠２０ｍｇ,第一三共
内用薬,カルベジロール錠２０ｍｇ「アメル」,共和薬品工業
内用薬,カルベジロール錠２０ｍｇ「サワイ」,沢井製薬
内用薬,カルベジロール錠２０ｍｇ「タナベ」,ニプロＥＳファーマ
内用薬,カルベジロール錠２０ｍｇ「ファイザー」,ファイザー
内用薬,カルベジロール錠２０ｍｇ「トーワ」,東和薬品
内用薬,カルベジロール錠２０ｍｇ「ＴＣＫ」,辰巳化学
内用薬,カルベジロール１．２５ｍｇ錠,
内用薬,アーチスト錠１．２５ｍｇ,第一三共
内用薬,カルベジロール２．５ｍｇ錠,
内用薬,アーチスト錠２．５ｍｇ,第一三共
内用薬,ランデル錠１０,ゼリア新薬工業
内用薬,ランデル錠２０,ゼリア新薬工業
内用薬,ランデル錠４０,ゼリア新薬工業
内用薬,フェロジピン２．５ｍｇ錠,
内用薬,スプレンジール錠２．５ｍｇ,アストラゼネカ
内用薬,フェロジピン５ｍｇ錠,
内用薬,スプレンジール錠５ｍｇ,アストラゼネカ
内用薬,カルバン錠２５,日本ケミファ
内用薬,カルバン錠５０,日本ケミファ
内用薬,カルバン錠１００,日本ケミファ
内用薬,アテレック錠５,ＥＡファーマ
内用薬,シルニジピン錠５ｍｇ「サワイ」,沢井製薬
内用薬,シルニジピン錠５ｍｇ「タイヨー」,武田テバファーマ
内用薬,シルニジピン錠５ｍｇ「ＡＦＰ」,大興製薬
内用薬,シルニジピン錠５ｍｇ「ＪＧ」,日本ジェネリック
内用薬,シルニジピン錠５ｍｇ「ＦＦＰ」,シオノケミカル
内用薬,アテレック錠１０,ＥＡファーマ
内用薬,シルニジピン錠１０ｍｇ「サワイ」,沢井製薬
内用薬,シルニジピン錠１０ｍｇ「タイヨー」,武田テバファーマ
内用薬,シルニジピン錠１０ｍｇ「ＡＦＰ」,大興製薬
内用薬,シルニジピン錠１０ｍｇ「ＪＧ」,日本ジェネリック
内用薬,シルニジピン錠１０ｍｇ「ＦＦＰ」,シオノケミカル
内用薬,アテレック錠２０,ＥＡファーマ
内用薬,シルニジピン錠２０ｍｇ「ＡＦＰ」,大興製薬
内用薬,シルニジピン錠２０ｍｇ「ＦＦＰ」,シオノケミカル
内用薬,シルニジピン錠２０ｍｇ「ＪＧ」,日本ジェネリック
内用薬,シルニジピン錠２０ｍｇ「テバ」,武田テバファーマ
内用薬,シルニジピン錠２０ｍｇ「サワイ」,沢井製薬
内用薬,サプレスタ顆粒２％,大鵬薬品工業
内用薬,ベック顆粒２％,日医工
内用薬,サプレスタカプセル５ｍｇ,大鵬薬品工業
内用薬,ベックカプセル５ｍｇ,日医工
内用薬,サプレスタカプセル１０ｍｇ,大鵬薬品工業
内用薬,ベックカプセル１０ｍｇ,日医工
内用薬,ロサルタンカリウム２５ｍｇ錠,
内用薬,ニューロタン錠２５ｍｇ,オルガノン
内用薬,ロサルタンＫ錠２５ｍｇ「ＤＳＥＰ」,第一三共エスファ
内用薬,ロサルタンＫ錠２５ｍｇ「ＥＥ」,エルメッド
内用薬,ロサルタンＫ錠２５ｍｇ「科研」,ダイト
内用薬,ロサルタンＫ錠２５ｍｇ「タカタ」,高田製薬
内用薬,ロサルタンＫ錠２５ｍｇ「トーワ」,東和薬品
内用薬,ロサルタンＫ錠２５ｍｇ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ
内用薬,ロサルタンカリウム錠２５ｍｇ「ＡＡ」,あすか製薬
内用薬,ロサルタンカリウム錠２５ｍｇ「ＦＦＰ」,共創未来ファーマ
内用薬,ロサルタンカリウム錠２５ｍｇ「ＪＧ」,日本ジェネリック
内用薬,ロサルタンカリウム錠２５ｍｇ「ＴＣＫ」,辰巳化学
内用薬,ロサルタンカリウム錠２５ｍｇ「ＺＥ」,全星薬品工業
内用薬,ロサルタンカリウム錠２５ｍｇ「杏林」,キョーリンリメディオ
内用薬,ロサルタンカリウム錠２５ｍｇ「ケミファ」,日本ケミファ
内用薬,ロサルタンカリウム錠２５ｍｇ「サワイ」,沢井製薬
内用薬,ロサルタンカリウム錠２５ｍｇ「日医工」,日医工
内用薬,ロサルタンカリウム５０ｍｇ錠,
内用薬,ニューロタン錠５０ｍｇ,オルガノン
内用薬,ロサルタンＫ錠５０ｍｇ「ＤＳＥＰ」,第一三共エスファ
内用薬,ロサルタンＫ錠５０ｍｇ「ＥＥ」,エルメッド
内用薬,ロサルタンＫ錠５０ｍｇ「科研」,ダイト
内用薬,ロサルタンＫ錠５０ｍｇ「タカタ」,高田製薬
内用薬,ロサルタンＫ錠５０ｍｇ「トーワ」,東和薬品
内用薬,ロサルタンＫ錠５０ｍｇ「ファイザー」,ファイザー
内用薬,ロサルタンＫ錠５０ｍｇ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ
内用薬,ロサルタンカリウム錠５０ｍｇ「ＡＡ」,あすか製薬
内用薬,ロサルタンカリウム錠５０ｍｇ「ＤＫ」,大興製薬
内用薬,ロサルタンカリウム錠５０ｍｇ「ＦＦＰ」,共創未来ファーマ
内用薬,ロサルタンカリウム錠５０ｍｇ「ＪＧ」,日本ジェネリック
内用薬,ロサルタンカリウム錠５０ｍｇ「ＴＣＫ」,辰巳化学
内用薬,ロサルタンカリウム錠５０ｍｇ「ＺＥ」,全星薬品工業
内用薬,ロサルタンカリウム錠５０ｍｇ「杏林」,キョーリンリメディオ
内用薬,ロサルタンカリウム錠５０ｍｇ「ケミファ」,日本ケミファ
内用薬,ロサルタンカリウム錠５０ｍｇ「サワイ」,沢井製薬
内用薬,ロサルタンカリウム錠５０ｍｇ「日医工」,日医工
内用薬,ロサルタンカリウム錠５０ｍｇ「ＮＰＩ」,日本薬品工業
内用薬,ロサルタンカリウム１００ｍｇ錠,
内用薬,ニューロタン錠１００ｍｇ,オルガノン
内用薬,ロサルタンＫ錠１００ｍｇ「ＤＳＥＰ」,第一三共エスファ
内用薬,ロサルタンＫ錠１００ｍｇ「ＥＥ」,エルメッド
内用薬,ロサルタンＫ錠１００ｍｇ「科研」,ダイト
内用薬,ロサルタンＫ錠１００ｍｇ「タカタ」,高田製薬
内用薬,ロサルタンＫ錠１００ｍｇ「トーワ」,東和薬品
内用薬,ロサルタンＫ錠１００ｍｇ「日新」,日新製薬（山形）
内用薬,ロサルタンＫ錠１００ｍｇ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ
内用薬,ロサルタンカリウム錠１００ｍｇ「ＡＡ」,あすか製薬
内用薬,ロサルタンカリウム錠１００ｍｇ「ＤＫ」,大興製薬
内用薬,ロサルタンカリウム錠１００ｍｇ「ＦＦＰ」,共創未来ファーマ
内用薬,ロサルタンカリウム錠１００ｍｇ「ＮＰ」,ニプロ
内用薬,ロサルタンカリウム錠１００ｍｇ「ＴＣＫ」,辰巳化学
内用薬,ロサルタンカリウム錠１００ｍｇ「杏林」,キョーリンリメディオ
内用薬,ロサルタンカリウム錠１００ｍｇ「ケミファ」,日本ケミファ
内用薬,ロサルタンカリウム錠１００ｍｇ「サワイ」,沢井製薬
内用薬,ロサルタンカリウム錠１００ｍｇ「日医工」,日医工
内用薬,ロサルタンカリウム錠１００ｍｇ「モチダ」,ニプロファーマ
内用薬,ロサルタンカリウム錠１００ｍｇ「ＮＰＩ」,日本薬品工業
内用薬,カンデサルタンシレキセチル２ｍｇ錠,
内用薬,ブロプレス錠２,武田テバ薬品
内用薬,カンデサルタン錠２ｍｇ「あすか」,あすか製薬
内用薬,カンデサルタン錠２ｍｇ「ＦＦＰ」,共創未来ファーマ
内用薬,カンデサルタン錠２ｍｇ「ＴＣＫ」,辰巳化学
内用薬,カンデサルタン錠２ｍｇ「ＹＤ」,陽進堂
内用薬,カンデサルタン錠２ｍｇ「オーハラ」,大原薬品工業
内用薬,カンデサルタン錠２ｍｇ「科研」,シオノケミカル
内用薬,カンデサルタン錠２ｍｇ「ケミファ」,日本ケミファ
内用薬,カンデサルタン錠２ｍｇ「トーワ」,東和薬品
内用薬,カンデサルタン錠２ｍｇ「日新」,日新製薬（山形）
内用薬,カンデサルタンシレキセチル４ｍｇ錠,
内用薬,ブロプレス錠４,武田テバ薬品
内用薬,カンデサルタン錠４ｍｇ「あすか」,あすか製薬
内用薬,カンデサルタン錠４ｍｇ「科研」,シオノケミカル
内用薬,カンデサルタン錠４ｍｇ「ツルハラ」,鶴原製薬
内用薬,カンデサルタンシレキセチル８ｍｇ錠,
内用薬,ブロプレス錠８,武田テバ薬品
内用薬,カンデサルタン錠８ｍｇ「あすか」,あすか製薬
内用薬,カンデサルタン錠８ｍｇ「科研」,シオノケミカル
内用薬,カンデサルタン錠８ｍｇ「ケミファ」,日本ケミファ
内用薬,カンデサルタンシレキセチル１２ｍｇ錠,
内用薬,ブロプレス錠１２,武田テバ薬品
内用薬,カンデサルタン錠１２ｍｇ「あすか」,あすか製薬
内用薬,カンデサルタン錠１２ｍｇ「ＤＳＥＰ」,第一三共エスファ
内用薬,カンデサルタン錠１２ｍｇ「科研」,シオノケミカル
内用薬,カンデサルタン錠１２ｍｇ「ケミファ」,日本ケミファ
内用薬,カンデサルタン錠１２ｍｇ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ
内用薬,カンデサルタンシレキセチル２ｍｇ口腔内崩壊錠,
内用薬,カンデサルタンＯＤ錠２ｍｇ「トーワ」,東和薬品
内用薬,カンデサルタンＯＤ錠２ｍｇ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ
内用薬,カンデサルタンシレキセチル４ｍｇ口腔内崩壊錠,
内用薬,カンデサルタンシレキセチル８ｍｇ口腔内崩壊錠,
内用薬,カンデサルタンＯＤ錠１２ｍｇ「ＥＥ」,エルメッド
内用薬,カンデサルタンＯＤ錠１２ｍｇ「ＫＮ」,小林化工
内用薬,カンデサルタンＯＤ錠１２ｍｇ「サワイ」,沢井製薬
内用薬,カンデサルタンＯＤ錠１２ｍｇ「トーワ」,東和薬品
内用薬,カンデサルタンＯＤ錠１２ｍｇ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ
内用薬,バルサルタン２０ｍｇ錠,
内用薬,ディオバン錠２０ｍｇ,ノバルティス　ファーマ
内用薬,バルサルタン錠２０ｍｇ「ＤＳＥＰ」,第一三共エスファ
内用薬,バルサルタン錠２０ｍｇ「ＥＥ」,エルメッド
内用薬,バルサルタン錠２０ｍｇ「ＦＦＰ」,共創未来ファーマ
内用薬,バルサルタン錠２０ｍｇ「ＪＧ」,日本ジェネリック
内用薬,バルサルタン錠２０ｍｇ「ＫＮ」,小林化工
内用薬,バルサルタン錠２０ｍｇ「ＴＣＫ」,辰巳化学
内用薬,バルサルタン錠２０ｍｇ「ＹＤ」,陽進堂
内用薬,バルサルタン錠２０ｍｇ「オーハラ」,大原薬品工業
内用薬,バルサルタン錠２０ｍｇ「科研」,ダイト
内用薬,バルサルタン錠２０ｍｇ「ケミファ」,日本ケミファ
内用薬,バルサルタン錠２０ｍｇ「サワイ」,沢井製薬
内用薬,バルサルタン錠２０ｍｇ「サンド」,サンド
内用薬,バルサルタン錠２０ｍｇ「タカタ」,高田製薬
内用薬,バルサルタン錠２０ｍｇ「タナベ」,ニプロＥＳファーマ
内用薬,バルサルタン錠２０ｍｇ「ツルハラ」,鶴原製薬
内用薬,バルサルタン錠２０ｍｇ「トーワ」,東和薬品
内用薬,バルサルタン錠２０ｍｇ「日医工」,日医工
内用薬,バルサルタン錠２０ｍｇ「ファイザー」,ファイザー
内用薬,バルサルタン錠２０ｍｇ「モチダ」,持田製薬販売
内用薬,バルサルタン錠２０ｍｇ「ＢＭＤ」,ビオメディクス
内用薬,バルサルタン錠２０ｍｇ「Ｍｅ」,Ｍｅ　ファルマ
内用薬,バルサルタン錠２０ｍｇ「ＮＰＩ」,日本薬品工業
内用薬,バルサルタン４０ｍｇ錠,
内用薬,ディオバン錠４０ｍｇ,ノバルティス　ファーマ
内用薬,バルサルタン錠４０ｍｇ「ＦＦＰ」,共創未来ファーマ
内用薬,バルサルタン錠４０ｍｇ「ＴＣＫ」,辰巳化学
内用薬,バルサルタン錠４０ｍｇ「科研」,ダイト
内用薬,バルサルタン錠４０ｍｇ「ケミファ」,日本ケミファ
内用薬,バルサルタン錠４０ｍｇ「サンド」,サンド
内用薬,バルサルタン錠４０ｍｇ「タカタ」,高田製薬
